Location,HotelName,NumAdults,NumChildren,DaysStayed,Bed,Rating,Price
Las Vegas,Downtown Grand Hotel & Casino,1,0,1,2 queen beds,8.0,$45
Las Vegas,Fairfield Inn Las Vegas Convention Center,1,0,1,2 queen beds,8.1,$101
Las Vegas,Ellis Island Hotel Casino & Brewery,1,0,1,1 king bed,7.9,$40
Las Vegas,Polo Towers By Diamond Resorts,1,0,1,Private studio • 1 bathroom • 28m²,8.5,$71
Las Vegas,Plaza Hotel & Casino,1,0,1,Multiple bed types,7.6,$50
Las Vegas,Best Western McCarran Inn,1,0,1,1 king bed,7.7,$99
Las Vegas,Sonesta Simply Suites Las Vegas Convention Center,1,0,1,1 queen bed,7.9,$89
Las Vegas,DoubleTree by Hilton Las Vegas East Flamingo,1,0,1,1 king bed,7.6,$105
Las Vegas,Embassy Suites by Hilton Convention Center Las Vegas,1,0,1,Private suite,7.8,$114
Las Vegas,Jet Luxury at The Signature Condo Hotel,1,0,1,Entire studio • 1 bathroom • 42m²,8.3,$69
Las Vegas,Circa Resort & Casino - Adults Only,1,0,1,1 king bed,8.9,$119
Las Vegas,"Holiday Inn Express & Suites - Las Vegas - E Tropicana, an IHG Hotel",1,0,1,2 queen beds,8.6,$123
Las Vegas,Hampton Inn Tropicana Las Vegas,1,0,1,1 king bed,8.7,$114
Las Vegas,Embassy Suites by Hilton Las Vegas,1,0,1,Private suite,8.4,$138
Las Vegas,Downtowner Boutique Hotel,1,0,1,1 queen bed,7.0,$44
Las Vegas,The Westin Las Vegas Hotel & Spa,1,0,1,2 full beds,8.1,$164
Las Vegas,"Hampton Inn Las Vegas Strip South, NV 89123",1,0,1,2 queen beds,9.3,$119
Las Vegas,Silver Sevens Hotel & Casino,1,0,1,2 queen beds,6.7,$29
Las Vegas,"Motel 6-Las Vegas, NV - I-15 Stadium",1,0,1,1 queen bed,6.8,$59
Las Vegas,Hilton Garden Inn Las Vegas Strip South,1,0,1,2 queen beds,8.7,$105
Las Vegas,"Holiday Inn Express Las Vegas South, an IHG Hotel",1,0,1,2 queen beds,8.3,$126
Las Vegas,The Platinum Hotel,1,0,1,,8.7,$169
Las Vegas,Arizona Charlie's Boulder,1,0,1,2 full beds,7.0,$40
Las Vegas,Travelodge by Wyndham Las Vegas Airport Near The Strip,1,0,1,2 queen beds,7.7,$76
Las Vegas,Best Western Plus Henderson Hotel,1,0,1,1 king bed,8.8,$134
Las Vegas,Hyatt Place Las Vegas,1,0,1,"2 beds (1 king, 1 sofa bed)",8.4,$121
Las Vegas,Downtown Grand Hotel & Casino,1,0,2,2 queen beds,8.0,$90
Las Vegas,Fairfield Inn Las Vegas Convention Center,1,0,2,2 queen beds,8.1,$202
Las Vegas,Polo Towers By Diamond Resorts,1,0,2,Private studio • 1 bathroom • 28m²,8.5,$124
Las Vegas,Ellis Island Hotel Casino & Brewery,1,0,2,1 king bed,7.9,$79
Las Vegas,Plaza Hotel & Casino,1,0,2,Multiple bed types,7.6,$95
Las Vegas,Jet Luxury at The Signature Condo Hotel,1,0,2,Entire studio • 1 bathroom • 42m²,8.3,$137
Las Vegas,Circa Resort & Casino - Adults Only,1,0,2,1 king bed,8.9,$238
Las Vegas,Best Western McCarran Inn,1,0,2,1 king bed,7.7,$198
Las Vegas,Embassy Suites by Hilton Convention Center Las Vegas,1,0,2,Private suite,7.8,$228
Las Vegas,DoubleTree by Hilton Las Vegas East Flamingo,1,0,2,2 queen beds,7.6,$211
Las Vegas,Desert Rose Resort,1,0,2,,9.0,$188
Las Vegas,Luxury Suites International at The Signature,1,0,2,"2 beds (1 king, 1 sofa bed)",8.0,$94
Las Vegas,Hampton Inn Tropicana Las Vegas,1,0,2,1 king bed,8.7,$228
Las Vegas,Hampton Inn & Suites Las Vegas Convention Center - No Resort Fee,1,0,2,1 king bed,8.8,$221
Las Vegas,Embassy Suites by Hilton Las Vegas,1,0,2,Private suite,8.4,$280
Las Vegas,Downtowner Boutique Hotel,1,0,2,1 queen bed,7.0,$84
Las Vegas,Best Western Plus Casino Royale - Center Strip,1,0,2,1 king bed,8.1,$204
Las Vegas,"Holiday Inn Express & Suites - Las Vegas - E Tropicana, an IHG Hotel",1,0,2,2 queen beds,8.6,$250
Las Vegas,Hampton Inn & Suites Las Vegas Airport,1,0,2,1 queen bed,8.1,$206
Las Vegas,"Hampton Inn Las Vegas Strip South, NV 89123",1,0,2,1 king bed,9.3,$233
Las Vegas,"The Berkley, Las Vegas",1,0,2,Private apartment • 1 bedroom • 1 bathroom • 1 kitchen • 44m²,9.1,$243
Las Vegas,Sonesta Simply Suites Las Vegas Convention Center,1,0,2,Private suite,7.9,$181
Las Vegas,La Quinta by Wyndham Las Vegas Airport N Conv.,1,0,2,1 queen bed,5.7,$171
Las Vegas,DoubleTree by Hilton Las Vegas Airport,1,0,2,1 king bed,8.0,$246
Las Vegas,Silver Sevens Hotel & Casino,1,0,2,2 queen beds,6.7,$59
Las Vegas,Hilton Garden Inn Las Vegas Strip South,1,0,2,2 queen beds,8.7,$225
Las Vegas,Downtown Grand Hotel & Casino,1,0,5,1 king bed,8.0,$225
Las Vegas,Fairfield Inn Las Vegas Convention Center,1,0,5,2 queen beds,8.1,$506
Las Vegas,Polo Towers By Diamond Resorts,1,0,5,Private studio • 1 bathroom • 28m²,8.5,$311
Las Vegas,Ellis Island Hotel Casino & Brewery,1,0,5,1 king bed,7.9,$196
Las Vegas,Plaza Hotel & Casino,1,0,5,Multiple bed types,7.6,$200
Las Vegas,Embassy Suites by Hilton Convention Center Las Vegas,1,0,5,Private suite,7.8,$570
Las Vegas,Jet Luxury at The Signature Condo Hotel,1,0,5,Entire studio • 1 bathroom • 42m²,8.3,$343
Las Vegas,Circa Resort & Casino - Adults Only,1,0,5,1 king bed,8.9,$595
Las Vegas,Luxury Suites International at The Signature,1,0,5,"2 beds (1 king, 1 sofa bed)",8.0,$236
Las Vegas,Best Western McCarran Inn,1,0,5,1 king bed,7.7,$494
Las Vegas,DoubleTree by Hilton Las Vegas East Flamingo,1,0,5,2 queen beds,7.6,$527
Las Vegas,Best Western Plus Casino Royale - Center Strip,1,0,5,1 king bed,8.1,$440
Las Vegas,Desert Rose Resort,1,0,5,,9.0,$463
Las Vegas,"Hampton Inn Las Vegas Strip South, NV 89123",1,0,5,1 king bed,9.3,$578
Las Vegas,Embassy Suites by Hilton Las Vegas,1,0,5,"2 beds (1 king, 1 sofa bed)",8.4,$691
Las Vegas,Hampton Inn Tropicana Las Vegas,1,0,5,1 king bed,8.7,$570
Las Vegas,SpringHill Suites by Marriott Las Vegas Convention Center,1,0,5,Private studio • 1 bathroom • 39m²,8.4,$620
Las Vegas,Downtowner Boutique Hotel,1,0,5,1 queen bed,7.0,$204
Las Vegas,Hampton Inn & Suites Las Vegas Convention Center - No Resort Fee,1,0,5,1 king bed,8.8,$582
Las Vegas,"Holiday Inn Express & Suites - Las Vegas - E Tropicana, an IHG Hotel",1,0,5,2 queen beds,8.6,$627
Las Vegas,"The Berkley, Las Vegas",1,0,5,Private apartment • 1 bedroom • 1 bathroom • 1 kitchen • 44m²,9.1,$608
Las Vegas,Silver Sevens Hotel & Casino,1,0,5,2 queen beds,6.7,$147
Las Vegas,Hampton Inn & Suites Las Vegas Airport,1,0,5,2 full beds,8.1,$513
Las Vegas,"Candlewood Suites - Las Vegas - E Tropicana, an IHG Hotel",1,0,5,Private suite,9.1,$608
Las Vegas,Best Western Plus Henderson Hotel,1,0,5,2 queen beds,8.8,$526
Las Vegas,Travelodge by Wyndham Las Vegas Airport Near The Strip,1,0,5,2 queen beds,7.7,$348
Las Vegas,Ellis Island Hotel Casino & Brewery,1,0,7,1 king bed,7.9,$400
Las Vegas,Fairfield Inn Las Vegas Convention Center,1,0,7,2 queen beds,8.1,$776
Las Vegas,Downtown Grand Hotel & Casino,1,0,7,1 king bed,8.0,$539
Las Vegas,Polo Towers By Diamond Resorts,1,0,7,Private studio • 1 bathroom • 28m²,8.5,$629
Las Vegas,Sonesta Simply Suites Las Vegas Convention Center,1,0,7,Private suite,7.9,$622
Las Vegas,Embassy Suites by Hilton Convention Center Las Vegas,1,0,7,Private suite,7.8,$889
Las Vegas,La Quinta by Wyndham Las Vegas Airport N Conv.,1,0,7,1 king bed,5.7,$542
Las Vegas,Plaza Hotel & Casino,1,0,7,Multiple bed types,7.6,$315
Las Vegas,Hampton Inn Tropicana Las Vegas,1,0,7,1 king bed,8.7,$904
Las Vegas,DoubleTree by Hilton Las Vegas East Flamingo,1,0,7,1 king bed,7.6,$797
Las Vegas,Desert Rose Resort,1,0,7,"2 beds (1 sofa bed, 1 queen)",9.0,$770
Las Vegas,Best Western McCarran Inn,1,0,7,1 king bed,7.7,$774
Las Vegas,"The Berkley, Las Vegas",1,0,7,Private apartment • 1 bedroom • 1 bathroom • 1 kitchen • 44m²,9.1,$832
Las Vegas,Silver Sevens Hotel & Casino,1,0,7,2 queen beds,6.7,$316
Las Vegas,Embassy Suites by Hilton Las Vegas,1,0,7,"2 beds (1 king, 1 sofa bed)",8.4,"$1,123"
Las Vegas,Circa Resort & Casino - Adults Only,1,0,7,1 king bed,8.9,"$1,193"
Las Vegas,SpringHill Suites by Marriott Las Vegas Convention Center,1,0,7,Private studio • 1 bathroom • 39m²,8.4,$940
Las Vegas,Downtowner Boutique Hotel,1,0,7,1 queen bed,7.0,$422
Las Vegas,Hyatt Place Las Vegas,1,0,7,"3 beds (2 fulls, 1 sofa bed)",8.4,$874
Las Vegas,"Candlewood Suites - Las Vegas - E Tropicana, an IHG Hotel",1,0,7,1 king bed,9.1,$918
Las Vegas,Homewood Suites By Hilton Las Vegas City Center,1,0,7,Private suite,8.9,$926
Las Vegas,Arizona Charlie's Boulder,1,0,7,2 full beds,7.0,$330
Las Vegas,Hampton Inn & Suites Las Vegas Convention Center - No Resort Fee,1,0,7,2 queen beds,8.8,"$1,104"
Las Vegas,"Holiday Inn Express Las Vegas South, an IHG Hotel",1,0,7,1 king bed,8.3,$881
Las Vegas,Hilton Garden Inn Las Vegas Strip South,1,0,7,2 queen beds,8.7,$874
Las Vegas,Travelodge by Wyndham Las Vegas Airport Near The Strip,1,0,7,2 queen beds,7.7,$576
Las Vegas,Best Western Plus Casino Royale - Center Strip,1,0,7,2 full beds,8.1,$984
